dimension,condition,actor_model,n,mean,sd,median,min,max
PS,A,claude,15,3.6,0.737,4,2,5
PS,A,gpt4mini,15,2.467,0.516,2,2,3
PS,A,gemini,15,2.067,0.258,2,2,3
PS,B,claude,15,4.133,0.516,4,3,5
PS,B,gpt4mini,15,3.067,0.704,3,2,4
PS,B,gemini,15,2.8,0.676,3,2,4
PS,C,claude,15,3.733,0.458,4,3,4
PS,C,gpt4mini,15,3.467,0.64,4,2,4
PS,C,gemini,15,2.6,0.632,3,2,4
PS,D,claude,15,3.8,0.676,4,2,5
PS,D,gpt4mini,15,3.133,0.64,3,2,4
PS,D,gemini,15,2.467,0.64,2,2,4
CC,A,claude,15,4.267,0.458,4,4,5
CC,A,gpt4mini,15,3.8,0.414,4,3,4
CC,A,gemini,15,2.867,0.743,3,2,4
CC,B,claude,15,4.333,0.488,4,4,5
CC,B,gpt4mini,15,3.933,0.258,4,3,4
CC,B,gemini,15,3.267,0.799,3,2,4
CC,C,claude,15,4.533,0.516,5,4,5
CC,C,gpt4mini,15,4,0,4,4,4
CC,C,gemini,15,3.333,0.976,4,1,4
CC,D,claude,15,4.133,0.352,4,4,5
CC,D,gpt4mini,15,4,0,4,4,4
CC,D,gemini,15,3.2,0.414,3,3,4
ER,A,claude,15,3.8,0.676,4,2,5
ER,A,gpt4mini,15,2.733,0.458,3,2,3
ER,A,gemini,15,2.067,0.258,2,2,3
ER,B,claude,15,4.133,0.516,4,3,5
ER,B,gpt4mini,15,3.267,0.594,3,2,4
ER,B,gemini,15,3.267,0.704,3,2,4
ER,C,claude,15,3.733,0.458,4,3,4
ER,C,gpt4mini,15,3.4,0.507,3,3,4
ER,C,gemini,15,2.6,0.632,3,2,4
ER,D,claude,15,3.733,0.704,4,2,5
ER,D,gpt4mini,15,3.2,0.561,3,2,4
ER,D,gemini,15,2.533,0.64,2,2,4
LF,A,claude,15,4.2,0.561,4,3,5
LF,A,gpt4mini,15,3,0.535,3,2,4
LF,A,gemini,15,2.333,0.617,2,2,4
LF,B,claude,15,4.333,0.488,4,4,5
LF,B,gpt4mini,15,3.8,0.414,4,3,4
LF,B,gemini,15,3.867,0.352,4,3,4
LF,C,claude,15,4.333,0.488,4,4,5
LF,C,gpt4mini,15,3.533,0.516,4,3,4
LF,C,gemini,15,2.867,0.743,3,2,4
LF,D,claude,15,4.267,0.594,4,3,5
LF,D,gpt4mini,15,3.333,0.488,3,3,4
LF,D,gemini,15,2.733,0.704,3,2,4
RC,A,claude,15,3.8,0.775,4,2,5
RC,A,gpt4mini,15,2.733,0.458,3,2,3
RC,A,gemini,15,2.267,0.594,2,2,4
RC,B,claude,15,4.2,0.561,4,3,5
RC,B,gpt4mini,15,3.067,0.704,3,2,4
RC,B,gemini,15,2.8,0.676,3,2,4
RC,C,claude,15,3.933,0.458,4,3,5
RC,C,gpt4mini,15,3.533,0.516,4,3,4
RC,C,gemini,15,2.733,0.594,3,2,4
RC,D,claude,15,3.8,0.676,4,2,5
RC,D,gpt4mini,15,3.2,0.561,3,2,4
RC,D,gemini,15,2.667,0.617,3,2,4
total,A,claude,15,19.667,2.845,20,13,25
total,A,gpt4mini,15,14.733,1.907,15,11,17
total,A,gemini,15,11.6,2.098,11,10,18
total,B,claude,15,21.133,2.356,20,17,25
total,B,gpt4mini,15,17.133,2.386,17,12,20
total,B,gemini,15,16,2.726,17,11,20
total,C,claude,15,20.267,1.944,21,17,23
total,C,gpt4mini,15,17.933,2.052,19,15,20
total,C,gemini,15,14.133,3.044,15,9,20
total,D,claude,15,19.733,2.658,20,13,25
total,D,gpt4mini,15,16.867,2.1,16,14,20
total,D,gemini,15,13.6,2.72,13,11,20
