dimension,condition,actor_model,n,mean,sd,median,min,max
PS,A,claude,15,3.6,0.632,4.0,2,4
PS,A,gpt4mini,15,2.6,0.632,3.0,2,4
PS,A,gemini,15,2.0,0.0,2.0,2,2
PS,B,claude,15,3.733,0.594,4.0,3,5
PS,B,gpt4mini,15,2.667,0.488,3.0,2,3
PS,B,gemini,15,2.067,0.258,2.0,2,3
PS,C,claude,15,3.667,0.724,4.0,2,5
PS,C,gpt4mini,15,3.6,0.507,4.0,3,4
PS,C,gemini,15,3.333,0.488,3.0,3,4
PS,D,claude,15,4.0,0.378,4.0,3,5
PS,D,gpt4mini,15,3.4,0.507,3.0,3,4
PS,D,gemini,15,2.733,0.799,3.0,2,4
CC,A,claude,15,4.0,0.0,4.0,4,4
CC,A,gpt4mini,15,3.667,0.488,4.0,3,4
CC,A,gemini,15,2.667,0.724,3.0,2,4
CC,B,claude,15,4.267,0.458,4.0,4,5
CC,B,gpt4mini,15,3.867,0.352,4.0,3,4
CC,B,gemini,15,2.933,0.884,3.0,2,4
CC,C,claude,15,4.533,0.64,5.0,3,5
CC,C,gpt4mini,15,4.0,0.0,4.0,4,4
CC,C,gemini,15,3.467,0.743,4.0,2,4
CC,D,claude,15,4.2,0.414,4.0,4,5
CC,D,gpt4mini,15,4.0,0.0,4.0,4,4
CC,D,gemini,15,3.333,0.724,3.0,2,4
ER,A,claude,15,3.733,0.594,4.0,2,4
ER,A,gpt4mini,15,2.867,0.64,3.0,2,4
ER,A,gemini,15,1.933,0.258,2.0,1,2
ER,B,claude,15,3.733,0.594,4.0,3,5
ER,B,gpt4mini,15,2.667,0.488,3.0,2,3
ER,B,gemini,15,1.8,0.414,2.0,1,2
ER,C,claude,15,3.6,0.632,4.0,2,4
ER,C,gpt4mini,15,3.4,0.632,3.0,2,4
ER,C,gemini,15,2.933,0.594,3.0,2,4
ER,D,claude,15,4.0,0.378,4.0,3,5
ER,D,gpt4mini,15,3.467,0.516,3.0,3,4
ER,D,gemini,15,2.733,0.799,3.0,2,4
LF,A,claude,15,4.0,0.378,4.0,3,5
LF,A,gpt4mini,15,3.0,0.655,3.0,2,4
LF,A,gemini,15,2.2,0.414,2.0,2,3
LF,B,claude,15,4.4,0.507,4.0,4,5
LF,B,gpt4mini,15,3.2,0.561,3.0,2,4
LF,B,gemini,15,2.4,0.507,2.0,2,3
LF,C,claude,15,4.4,0.632,4.0,3,5
LF,C,gpt4mini,15,3.6,0.507,4.0,3,4
LF,C,gemini,15,3.333,0.816,4.0,2,4
LF,D,claude,15,4.2,0.414,4.0,4,5
LF,D,gpt4mini,15,3.733,0.458,4.0,3,4
LF,D,gemini,15,3.133,0.834,3.0,2,4
RC,A,claude,15,3.8,0.676,4.0,2,5
RC,A,gpt4mini,15,2.8,0.676,3.0,2,4
RC,A,gemini,15,2.0,0.0,2.0,2,2
RC,B,claude,15,3.8,0.676,4.0,3,5
RC,B,gpt4mini,15,2.733,0.594,3.0,2,4
RC,B,gemini,15,2.133,0.352,2.0,2,3
RC,C,claude,15,3.733,0.799,4.0,2,5
RC,C,gpt4mini,15,3.533,0.516,4.0,3,4
RC,C,gemini,15,3.4,0.507,3.0,3,4
RC,D,claude,15,4.067,0.458,4.0,3,5
RC,D,gpt4mini,15,3.533,0.516,4.0,3,4
RC,D,gemini,15,2.867,0.834,3.0,2,4
total,A,claude,15,19.133,2.1,20.0,13,22
total,A,gpt4mini,15,14.933,2.738,16.0,11,20
total,A,gemini,15,10.8,1.146,11.0,9,13
total,B,claude,15,19.933,2.492,20.0,17,25
total,B,gpt4mini,15,15.133,2.134,16.0,11,18
total,B,gemini,15,11.333,1.799,11.0,9,14
total,C,claude,15,19.933,3.15,21.0,13,24
total,C,gpt4mini,15,18.133,1.922,19.0,15,20
total,C,gemini,15,16.467,2.696,16.0,12,20
total,D,claude,15,20.467,1.727,20.0,17,25
total,D,gpt4mini,15,18.133,1.727,18.0,16,20
total,D,gemini,15,14.8,3.726,15.0,10,20
